[33, 26, 37, 48][0, 0, 0, 0]
[33, 26, 37, 48][0, 0, 0, 0]
[33, 26, 37, 49][0, 0, 0, 0]
[33, 26, 37, 49][0, 0, 0, 0]
[33, 27, 37, 49][0, 0, 0, 0]
[33, 27, 37, 49][0, 0, 0, 0]
[33, 27, 37, 50][0, 0, 0, 0]
[33, 27, 37, 50][0, 0, 0, 0]
[33, 28, 37, 50][0, 0, 0, 0]
[33, 28, 37, 50][0, 0, 0, 0]
[33, 28, 37, 51][0, 0, 0, 0]
[33, 28, 37, 51][0, 0, 0, 0]
[33, 28, 38, 51][0, 0, 0, 0]
[33, 28, 38, 51][0, 0, 0, 0]
[33, 29, 38, 51][0, 0, 0, 0]
[33, 29, 38, 51][0, 0, 0, 0]
[33, 29, 38, 52][0, 0, 0, 0]
[33, 29, 38, 52][0, 0, 0, 0]
[33, 30, 38, 52][0, 0, 0, 0]
[33, 30, 38, 52][0, 0, 0, 0]
[33, 30, 39, 52][0, 0, 0, 0]
[33, 30, 39, 52][0, 0, 0, 0]
[33, 30, 39, 53][0, 0, 0, 0]
[33, 30, 39, 53][0, 0, 0, 0]
[33, 31, 39, 53][0, 0, 0, 0]
[33, 31, 39, 53][0, 0, 0, 0]
[33, 31, 39, 54][0, 0, 0, 0]
[33, 31, 39, 54][0, 0, 0, 0]
[33, 31, 39, 55][0, 0, 0, 0]
[33, 31, 39, 55][0, 0, 0, 0]
[33, 31, 39, 56][0, 0, 0, 0]
[33, 31, 39, 56][0, 0, 0, 0]
[34, 31, 39, 56][0, 0, 0, 0]
[34, 31, 39, 56][0, 0, 0, 0]
[34, 31, 39, 57][0, 0, 0, 0]
[34, 31, 39, 57][0, 0, 0, 0]
[34, 31, 39, 58][0, 0, 0, 0]
[34, 31, 39, 58][0, 0, 0, 0]
[34, 31, 40, 58][0, 0, 0, 0]
[34, 31, 40, 58][0, 0, 0, 0]
[35, 31, 40, 58][0, 0, 0, 0]
[35, 31, 40, 58][0, 0, 0, 0]
[36, 31, 40, 58][0, 0, 0, 0]
[36, 31, 40, 58][0, 0, 0, 0]
[36, 31, 41, 58][0, 0, 0, 0]
[36, 31, 41, 58][0, 0, 0, 0]
[36, 32, 41, 58][0, 0, 0, 0]
[36, 32, 41, 58][0, 0, 0, 0]
[36, 32, 42, 58][0, 0, 0, 0]
[36, 32, 42, 58][0, 0, 0, 0]
[37, 32, 42, 58][0, 0, 0, 0]
[37, 32, 42, 58][0, 0, 0, 0]
[37, 32, 42, 59][0, 0, 0, 0]
[37, 32, 42, 59][0, 0, 0, 0]
[38, 32, 42, 59][0, 0, 0, 0]
[38, 32, 42, 59][0, 0, 0, 0]
[38, 33, 42, 59][0, 0, 0, 0]
[38, 33, 42, 59][0, 0, 0, 0]
[38, 33, 42, 60][0, 0, 0, 0]
[38, 33, 42, 60][0, 0, 0, 0]
[38, 33, 42, 61][0, 0, 0, 0]
[38, 33, 42, 61][0, 0, 0, 0]
[38, 34, 42, 61][0, 0, 0, 0]
[38, 34, 42, 61][0, 0, 0, 0]
[38, 34, 42, 62][0, 0, 0, 0]
[38, 34, 42, 62][0, 0, 0, 0]
[38, 35, 42, 62][0, 0, 0, 0]
[38, 35, 42, 62][0, 0, 0, 0]
[38, 36, 42, 62][0, 0, 0, 0]
[38, 36, 42, 62][0, 0, 0, 0]
[38, 36, 42, 63][0, 0, 0, 0]
[38, 36, 42, 63][0, 0, 0, 0]
[38, 36, 42, 64][0, 0, 0, 0]
[38, 36, 42, 64][0, 0, 0, 0]
[38, 36, 43, 64][0, 0, 0, 0]
[38, 36, 43, 64][0, 0, 0, 0]
[38, 37, 43, 64][0, 0, 0, 0]
[38, 37, 43, 64][0, 0, 0, 0]
[38, 37, 43, 65][0, 0, 0, 0]
[38, 37, 43, 65][0, 0, 0, 0]
[39, 37, 43, 65][0, 0, 0, 0]
[39, 37, 43, 65][0, 0, 0, 0]
[39, 37, 43, 66][0, 0, 0, 0]
[39, 37, 43, 66][0, 0, 0, 0]
[39, 37, 43, 67][0, 0, 0, 0]
[39, 37, 43, 67][0, 0, 0, 0]
[39, 37, 44, 67][0, 0, 0, 0]
[39, 37, 44, 67][0, 0, 0, 0]
[39, 38, 44, 67][0, 0, 0, 0]
[39, 38, 44, 67][0, 0, 0, 0]
[39, 38, 44, 68][0, 0, 0, 0]
[39, 38, 44, 68][0, 0, 0, 0]
[39, 38, 45, 68][0, 0, 0, 0]
[39, 38, 45, 68][0, 0, 0, 0]
[39, 38, 45, 69][0, 0, 0, 0]
[39, 38, 45, 69][0, 0, 0, 0]
[39, 39, 45, 69][0, 0, 0, 0]
[39, 39, 45, 69][0, 0, 0, 0]
[39, 40, 45, 69][0, 0, 0, 0]
